code, name, price_without_tax, type, rating
20031,"Leica M10-P ""ASC 100 Edition""","$17,500.00",M   Cameras,0
20029,"Leica M10-P ""White""","$14,495.00",M   Cameras,0
20014,Leica M10-D,"$8,795.00",M   Cameras,5
20021,Leica M10-P Black,"$8,795.00",M   Cameras,0
20022,Leica M10-P Silver,"$8,795.00",M   Cameras,0
20050,Leica M10 Monochrom,"$8,295.00",M   Cameras,5
20000,Leica M10 Black,"$7,995.00",M   Cameras,5
20001,Leica M10 Silver,"$7,995.00",M   Cameras,0
10930,"Leica M Monochrom (Typ 246) ""Leitz Wetzlar""","$7,595.00",M   Cameras,5
10302,Leica MP 0.72 Black,"$5,295.00",M   Cameras,5
10370,Leica M-A (Typ 127) Black,"$5,195.00",M   Cameras,5
10371,M-A (Typ 127)  Silver,"$5,195.00",M   Cameras,0
11676,Leica Noctilux-M 75mm f/1.25 ASPH.,"$14,095.00",M  Lenses,0
11678,Leica Summilux-M 90 mm f/1.5 ASPH,"$12,995.00",M  Lenses,0
11602,Leica Noctilux-M 50mm f/0.95 ASPH. Black,"$12,495.00",M  Lenses,0
11141,Leica APO-Summicron-M 50mm f/2 ASPH. Black,"$8,795.00",M  Lenses,0
11647,Leica Summilux-M 21mm f/1.4 ASPH.,"$8,595.00",M  Lenses,0
11668,Leica Summilux-M 28mm f/1.4 ASPH. Black,"$7,295.00",M  Lenses,0
11697,Leica Thambar-M 90mm f/2.2,"$7,195.00",M  Lenses,0
11700,"Leica Summilux-M 35mm f/1.4 ASPH. ""Leitz Wetzlar""","$6,195.00",M  Lenses,0
11675,Leica Summilux-M 35mm f/1.4 ASPH. Silver,"$6,095.00",M  Lenses,0
11663,Leica Summilux-M 35mm f/1.4 ASPH. Black,"$5,895.00",M  Lenses,0
11884,Leica APO-Summcron-M 90mm f/2.0 ASPH.,"$5,095.00",M  Lenses,5
11705,"Leica APO-Summicron-M 90 f/2 ASPH. Edition ""Safari""","$5,095.00",M  Lenses,0
11688,Leica Summilux-M 50mm f/1.4 ASPH. Black Chrome,"$5,095.00",M  Lenses,0
11892,Leica Summilux-M 50mm f/1.4 ASPH. Silver Chrome,"$4,695.00",M  Lenses,0
11701,Leica APO-Summicron-M 75 f/2 ASPH. Silver Anodized,"$4,395.00",M  Lenses,0
11637,Leica APO-Summicron-M 75mm f/2 ASPH.,"$4,395.00",M  Lenses,0
11891,Leica Summilux-M 50mm f/1.4 ASPH. Black,"$4,395.00",M  Lenses,5
