_id,name,processor,clockspeed,score.singlecore,score.multicore
5f019f0d5ec1300dec25f8ac,OnePlus 8,Qualcomm Snapdragon 865,1.8,904,3318
5f019f0d5ec1300dec25f8ad,OnePlus 8 Pro,Qualcomm Snapdragon 865,1.8,891,3251
5f019f0d5ec1300dec25f8ae,Samsung Galaxy S20 Ultra 5G,Qualcomm Snapdragon 865,1.8,840,3108
5f019f0d5ec1300dec25f8af,Samsung Galaxy S20 5G,Qualcomm Snapdragon 865,1.8,812,3076
5f019f0d5ec1300dec25f8b0,Samsung Galaxy S20+ 5G,Qualcomm Snapdragon 865,1.8,810,3091
5f019f0d5ec1300dec25f8b1,Samsung Galaxy S20 Ultra,Samsung Exynos 990,2,808,2698
5f019f0d5ec1300dec25f8b2,Samsung Galaxy S20,Samsung Exynos 990,2,767,2628
5f019f0d5ec1300dec25f8b3,Huawei Mate 30 Pro 5G,HiSilicon Kirin 990,2,766,3056
5f019f0d5ec1300dec25f8b4,Samsung Galaxy S10 5G,Samsung Exynos 9820,2,764,2153
5f019f0d5ec1300dec25f8b5,Samsung Galaxy S10+,Samsung Exynos 9820,2,759,2103
5f019f0d5ec1300dec25f8b6,Huawei Mate 30 Pro,HiSilicon Kirin 990,1.9,759,2879
5f019f0d5ec1300dec25f8b7,OnePlus 7T Pro 5G,Qualcomm Snapdragon 855+,1.8,759,2683
5f019f0d5ec1300dec25f8b8,OnePlus 7T,Qualcomm Snapdragon 855+,1.8,757,2675
5f019f0d5ec1300dec25f8b9,OnePlus 7T Pro,Qualcomm Snapdragon 855+,1.8,757,2673
5f019f0d5ec1300dec25f8ba,Samsung Galaxy S20+,Samsung Exynos 990,2,753,2648
5f019f0d5ec1300dec25f8bb,Samsung Galaxy Note10+ 5G,Samsung Exynos 9825,2,751,2137
5f019f0d5ec1300dec25f8bc,Samsung Galaxy S10,Samsung Exynos 9820,2,750,2058
5f019f0d5ec1300dec25f8bd,Samsung Galaxy S10e,Samsung Exynos 9820,2,749,2077
5f019f0d5ec1300dec25f8be,Vivo iQOO Pro 5G,Qualcomm Snapdragon 855+,1.8,746,2697
5f019f0d5ec1300dec25f8bf,ZTE nubia Red Magic 3,Qualcomm Snapdragon 855,1.8,735,2461
5f019f0d5ec1300dec25f8c0,OnePlus 7 Pro,Qualcomm Snapdragon 855,1.8,729,2667
5f019f0d5ec1300dec25f8c1,Samsung Galaxy Note10+,Samsung Exynos 9825,2,728,2087
5f019f0d5ec1300dec25f8c2,OnePlus 7,Qualcomm Snapdragon 855,1.8,724,2613
5f019f0d5ec1300dec25f8c3,Asus Zenfone 6 ZS630KL,Qualcomm Snapdragon 855,1.8,723,2448
5f019f0d5ec1300dec25f8c4,Sony Xperia 5,Qualcomm Snapdragon 855,1.8,722,2591
5f019f0d5ec1300dec25f8c5,Samsung Galaxy Note10 5G,Samsung Exynos 9825,2,721,2098
5f019f0d5ec1300dec25f8c6,Sony Xperia 1,Qualcomm Snapdragon 855,1.8,719,2628
5f019f0d5ec1300dec25f8c7,Asus ROG Phone II,Qualcomm Snapdragon 855+,1.8,713,2443
5f019f0d5ec1300dec25f8c8,Samsung Galaxy Tab S6,Qualcomm Snapdragon 855,1.8,712,2456
5f019f0d5ec1300dec25f8c9,Realme X2 Pro,Qualcomm Snapdragon 855+,1.8,711,2464
5f019f0d5ec1300dec25f8ca,LG G8S ThinQ,Qualcomm Snapdragon 855,1.8,708,2503
5f019f0d5ec1300dec25f8cb,LG G8 ThinQ,Qualcomm Snapdragon 855,1.8,703,2458
5f019f0d5ec1300dec25f8cc,Samsung Galaxy Note10+ 5G,Qualcomm Snapdragon 855,1.8,703,2510
5f019f0d5ec1300dec25f8cd,Samsung Galaxy Note10,Qualcomm Snapdragon 855,1.8,699,2538
5f019f0d5ec1300dec25f8ce,Samsung Galaxy Fold 5G,Qualcomm Snapdragon 855,1.8,699,2521
5f019f0d5ec1300dec25f8cf,Samsung Galaxy S10e,Qualcomm Snapdragon 855,1.8,696,2454
5f019f0d5ec1300dec25f8d0,Samsung Galaxy Note10+,Qualcomm Snapdragon 855,1.8,694,2503
5f019f0d5ec1300dec25f8d1,Samsung Galaxy S10,Qualcomm Snapdragon 855,1.8,693,2493
5f019f0d5ec1300dec25f8d2,LG V50 ThinQ 5G,Qualcomm Snapdragon 855,1.8,691,2435
5f019f0d5ec1300dec25f8d3,LG V50S ThinQ 5G,Qualcomm Snapdragon 855,1.8,689,2358
5f019f0d5ec1300dec25f8d4,Samsung Galaxy S10+,Qualcomm Snapdragon 855,1.8,687,2476
5f019f0d5ec1300dec25f8d5,Huawei Honor View 20,HiSilicon Kirin 980,1.8,686,2420
5f019f0d5ec1300dec25f8d6,Huawei Mate 20 X,HiSilicon Kirin 980,1.8,686,2393
5f019f0d5ec1300dec25f8d7,Oppo Reno 10x Zoom,Qualcomm Snapdragon 855,1.8,685,2619
