_id,jobTitle,jobType,jobDesc
5ef79ccd26d9a3404c78facc,Design Web Developper dan Web Master,Part Time,"#LOWONGAN PROGRAMMER A. DESIGN WEB PROGRAMMER Keahlian : 1. Munguasai JavaScript, HTML + CSS 2. Lebih disukai memiliki pengalaman dalam bidang berikut: Framework UI (misalnya Bootstrap), 3. Menguasai"
5ef79ccd26d9a3404c78facd,Web Developer Part Time,Part Time,"- Mengerti PHP - Codeigniter, MYSQL / SQL - Mengerti HTML, CSS, JS - Mengerti OOP - good attitude - suka dengan tantangan - bisa bekerja di dalam team -"
5ef79ccd26d9a3404c78face,Web Developer & Digital Marketing,Part Time,"Pria & Wanita Usia 21 - 35 Tahun Pendidikan Min D3 - S1 Berpengalaman Min 1 Tahun Supel, Aktif, sopan, Rajin dan Loyalitas tinggi Etika Bagus bertanggung Jawab pada pekerjaannya Ingin"
5ef79ccd26d9a3404c78facf,[Part Time] Web Developer,Part Time,"Description : Candidate must possess at least a SMA, Diploma, or Bachelor's Degree of Computer Science/ Information Technology, Engineering (Computer/Telecommunication or equivalent) Fresh Gradu"
5ef79ccd26d9a3404c78fad0,WEB DEVELOPER VACANCY (Internship/Part Time/Full Time),Full Time,"We're looking to add more family member, let's have fun and be productive together. This position is a full-time/part-time/internship position. Responsibilities: - The role is responsi"
5ef79ccd26d9a3404c78fad1,PHP Web Developer - Full Time - Part Time,Full Time,Job Title PHP Web Developer - Full Time Job Description Kami membuka lowongan Full Time untuk PHP Web Developer. KRITERIA DASAR - Menguasai pemrograman PHP dan dasar HTML - Menguasa
5ef79ccd26d9a3404c78fad2,Part Time/Full Time Web Developer,Part Time,Job Title Part Time/Full Time Web Developer Job Description - Part Time/Full Time Web Developer General Requirements Male/Female S1/D3 Computer Science or related Fresh Grads are welcom
5ef79ccd26d9a3404c78fad3,Part Time Web Developer,Part Time,Job Title Web Developer Job Description   Who We Are Looking For We are looking for Senior and Junior Back-End and Front-End Web Developer   Web Developer Requirements:   Good knowledge
5ef79ccd26d9a3404c78fad4,Web & App Developer,Part Time,Dibutuhkan Pekerja Part Time Web dan Applikasi Developer dengan jam Kerja sbb : 1. Seminggu 3x pertemuan 2. Waktu Malam hari jam 19.00-22.00 (cocok untuk mahasiswa/karyawan yang kuliah atau kerja dipa
5ef79ccd26d9a3404c78fad5,User Experience Focus Group for Website Development,Part Time,"Tulodo Indonesia sedang mengembangkan sebuah website kesehatan untuk remaja dan anak muda. Sebelum kami meluncurkan website tersebut ke publik, kami ingin minta bantuanmu untuk memberikan kritik dan s"
5ef79ccd26d9a3404c78fad6,Blogs Writer & Website Content Developer.,Part Time,Job Title Blogs Writer & Website Content Developer. Job Description A new kids shoes Brand Just recently launched. We are looking for  a student with Great Personality Join with our Team. Speakin
5ef79ccd26d9a3404c78fad7,TRAINER IT WEB DESIGN PROGRAMMING,Part Time,"TRAINER IT (WEB, ANDROID, DESKTOP) & DIGITAL MARKETING (SEO, ADWORDS, FACEBOOK) Dibutuhkan Trainer IT Untuk Posisi Part-Time Deskripsi Pekerjaan          Menghandle (Mengajar) Kelas Kurs"
5ef79ccd26d9a3404c78fad8,TRAINER IT (WEB ANDROID DESKTOP) & DIGITAL MARKETING (SEO ADWORDS FACEBOOK) JAKARTA BANDUNG SURABAYA,Part Time,Dibutuhkan Trainer IT Untuk Posisi Part-Time Deskripsi Pekerjaan Menghandle (Mengajar) Kelas Kursus IT Persyaratan Usia 21 - 35 Tahun Pendidikan Min D3 - S1 Sedang menjalankan kuliah diper
5ef79ccd26d9a3404c78fad9,"Pengajar Web, Mobile Aplikasi dan Digital Marketing",Part Time,"WebHozz Training adalah Perusahaan Konsultan dan Pelatihan yang bergerak di Bidang Web, Mobile Aplikasi, dan Digital Marketing. Sedang mencari beberapa kandidat instruktur untuk keahlian dibawah ini :"
5ef79ccd26d9a3404c78fada,Tester Web dan Mobile Apps,Part Time,Requirement : Perempuan Perfeksionis Teliti Dapat memahami dan mengerti dengan cepat Preferable Jurusan Teknologi Informasi (IT) / Sistem Informasi (SI) Job Description : Testing Web application dan m
5ef79ccd26d9a3404c78fadb,WEB Programmer (e-commerce),Part Time,PT Rajasa adalah perusahaan yang mengelolah JPro.co.id sebuah start up e-commerce company sedang membutuhkan beberapa staff  WEB Developer untuk ditempatkan diKantor Pusat lokasi di Tangerang Selatan
5ef79ccd26d9a3404c78fadc,Mobile dev programmer urgently needed,Part Time,Hello Every one ! We are looking for a Part Time IT Programmer with monthly income Max. 1 Year. We are developing a similar concept website to houzz.com.  If you are Confidence and have 100 % Ability
5ef79ccd26d9a3404c78fadd,Business Development Partime,Part Time,Business Development (BD) - Part-time job is a position to leverage your resources and skills to recruit UC wemedia members among develop journalists/bloggers/writers communities or individuals.
5ef79ccd26d9a3404c78fade,Front End Developer Internship,Part Time,"INTERNSHIP AVAILABLE - FRONT END DEVELOPER FXMedia, We are a Digital Media Agency founded in Singapore. We are expanding our operations in Jakarta. Our Office located at Pluit Jakarta Utara. We"
5ef79ccd26d9a3404c78fadf,Trainer Part-Time WebHozz,Freelance,"Kami dari WebHozz (PT WebHozz Media), adalah Perusahaan yang bergerak dibidang IT Training dan sedang berkembang dengan membuka kantor-kantor cabang baru di Indonesia. Saat ini kami memiliki kantor"
5ef79ccd26d9a3404c78fae0,Part Time Webmaster,Part Time,"Job Title Webmaster Job Description Do whatever it takes so that our web are always responsive, light and user friendly with any device type. Fix all existing problem Familiar with WordPress (and Mage"
5ef79ccd26d9a3404c78fae1,Part Time Business Development & Sales Strategist,Part Time,"Job Title Business Development & Sales Strategist Job Description Available Position: Business Development & Sales Strategist Part Time/Internship Tebet, Jakarta Selatan Are you a creative, en"
5ef79ccd26d9a3404c78fae2,Part Time Business Development Associate,Part Time,"Job Title Business Development Associate Job Description Job description: Find and reach out to clients. Demonstrate company products and solutions. Meet target sales. Record contacts, leads etc in C"
5ef79ccd26d9a3404c78fae3,Business Development Associate,Part Time,"Job Title Business Development Associate Job Description Job Description: Phone calls, meetings, field sales Meet personal and team sales targets Get sales and forecast sales using different sales met"
5ef79ccd26d9a3404c78fae4,Lowongan Part Time Web Manager,Part Time,"We are currently developing a version of our website (www.fmch-indonesia.org) in Bahasa Indonesia.   We are looking for a part-time Web Manager to develop, maintain and update the site. &n"
5ef79ccd26d9a3404c78fae5,Public Relation/Marketing Komunikasi (MarKom) Internship,Full Time,"Masa minimum Magang wajib selama 3 bulan. Berpeluang untuk bergabung sebagai Full Time/ Part Time. Cantumkan Link account Social Media kalian kalian ketika melamar posisi ini (Instagram, Pinterest,"
5ef79ccd26d9a3404c78fae6,Graphic Designer Internship/Part Time,Full Time,"PT Eannovate Creative Technology (Eannovate) merupakan perusahaan yang bergerak di bidang jasa IT consulting (website, mobile apps, 3D, games) dan Creative Consulting. Saat ini kami juga tengah menja"
