Name,Address,Grade Spring 2020,Grade Fall 2019,Grade Spring 2019,Grade Fall 2018,Grade Spring 2018,Grade Fall 2017,Grade Spring 2017,Infection MRSA,Infection C Diff,Infection in Blood,Infection in Urinary Tract,Infection after Colon Surgery,Problem with Surgery Object Left in Patient Body,Problem with Surgery Wound Open,Problem with Surgery Complications,Problem with Surgery Collapsed Lung,Problem with Surgery Breathing Problem,Problem with Surgery Blood Clot,Problem with Surgery Accidental Cuts,Practices to Prevent Errors Order Medications through Computer,Practices to Prevent Errors Safe Medication Administration,Practices to Prevent Errors Handwashing,Practices to Prevent Errors Communication about Medicine,Practices to Prevent Errors Communication about Discharge,Practices to Prevent Errors Staff Work Together,Safety Problems Bed Sores,Safety Problems Patient Fals and Injuries,Safety Problems Air on Gas Bubble in Blood,Safety Problems Track and Reduce Risks,Doctor Nurse Staff Leadership,Doctor Nurse Staff Qualified Nurses,Doctor Nurse Staff Trained Doctors for ICU Patients,Doctor Nurse Staff Communication with Doctors,Doctor Nurse Staff Communication with Nurses,Doctor Nurse Staff Responsiveness of Hospital Staff
ACMH Hospital,"One Nolte Drive Kittanning, PA",c,c,c,c,c,c,c,-1,0.218,0,0,-1,0,0.94,-1,0.26,5.83,3.23,1.23,45,45,-2,76,89,-2,0.74,1.067,0,-2,-2,-2,5,91,89,85
AHMC Anaheim Regional Medical Center,"1111 W. La Palma Avenue Anaheim, CA",b,b,b,c,c,d,d,0,0.546,0.319,0.364,0,0,0.9,154.55,0.21,5.26,4.9,1.93,100,75,60,76,83,120,0.27,0.421,0,100,110.77,100,-2,87,88,83
AMITA Health Mercy Medical Center Aurora,"1325 N. Highland Avenue Aurora, IL",a,b,b,a,a,c,b,-1,1.358,1.065,0.951,0.848,0,1.19,155.18,0.37,4.74,4.63,1.08,70,100,60,81,89,120,0.15,0,0,100,120,100,100,92,93,85
AMITA Health Adventist Medical Center GlenOaks,"701 N. Winthrop Avenue Glendale Heights, IL",a,a,a,a,b,c,c,0,0.427,0,0,-1,0,0.93,-1,0.24,8.81,4.3,1.2,100,100,60,74,86,120,0.2,0,0,100,120,100,100,88,89,82
AMITA Health Resurrection Medical Center Chicago,"7435 W. Talcott Avenue Chicago, IL",a,a,a,a,a,a,a,0,0.9,0.856,0.319,0.246,0,0.8,134.47,0.32,6.82,2.96,1.18,100,100,60,72,83,120,0.14,0.186,0,100,120,100,100,89,90,83
AMITA Health Saint Francis Hospital Evanston,"355 Ridge Avenue Evanston, IL",c,b,b,b,b,c,c,0.596,0.904,1.047,0.867,0,0,0.88,165.51,0.25,8.61,3.52,1.01,100,100,60,70,78,120,0.28,0.182,0,72.73,110.77,100,100,90,89,80
AMITA Health Saint Joseph Hospital Chicago,"2900 N. Lake Shore Drive Chicago, IL",a,a,a,a,a,c,a,0.331,0.642,0,0,0,0,0.89,157.06,0.3,5.88,3.34,2.4,100,75,60,79,81,120,0.29,0.312,0,100,120,100,100,92,91,79
AMITA Health Saint Joseph Hospital Elgin,"77 N. Airlite Street Elgin, IL",b,c,a,a,b,c,c,-1,0.516,1.257,0.448,-1,0,0.91,135.38,0.27,8.09,2.64,1.96,100,45,60,76,87,120,0.33,0.608,0,100,110.77,100,100,90,91,81
AMITA Health Adventist Medical Center Hinsdale,"120 N. Oak Street Hinsdale, IL",a,a,a,a,a,a,a,0.733,0.442,0.498,0.349,0.417,0,0.86,148.88,0.27,6.61,4.02,0.93,100,100,60,80,88,110.77,0.21,0.554,0,100,120,100,100,92,92,87
AMITA Health Saint Joseph Medical Center Joliet,"333 N. Madison Street Joliet, IL",a,a,a,b,c,c,c,0.279,0.23,0.819,1.699,0.461,0,0.78,137.22,0.29,7.77,3.58,1.18,70,100,60,76,85,120,0.4,0.185,0,100,120,100,100,90,91,83
